Id,EssaySet,Score1,Score2,EssayText
22952,9,1,0,"The author orginizes this article by putting into a couple paragraphs, that are organized that way to make it easier on the reader. So that you can understand how dangerous space junk or microdebris is."
22953,9,0,0,By starting back in the 1950's also by their thoughts an other people thoughts..
22954,9,0,0,"He says what it is, and the first year they started doing. He also talked about that different crash course you could have if you go up in space. That you might want to bring tools with you just in  case somethimg happens."
22955,9,2,2,"The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion."
22956,9,1,1,She organizes the article by useing different headings when she talking about different things.
22958,9,1,1,"It was very well put together, becuase the author organized it into different sections. He had a eye catching benning and The in between had different Titles that caught your intrest talking about a certain topic."
22959,9,2,1,The Auther organizes the article by first informing you about what space junk is like in paragraph 5. The second part is telling you what happens when two uncontrollable satilites do. Then the last part is telling you what happens what microdebris is and how it poses a threat to earth.
22960,9,0,0,The author does step by step in order to inform us the little           promblems to the real promblems that are big.And to let us no how certain things we need to pay attention to because its a big deal.
22961,9,2,2,"The author organizes the article by breaking it up into sections. First he has the introduction part of the article. This introduces what his paper will be about. Then he has a subtitle that says 'What Is Space Junk?' This section defines what his main idea is about and gives the reader a better understanding about his topic. Then, he has 'Crash Course' giving examples of previous times there has been crashes in space. Finally he closes his article with 'Little Bits, But a Big Deal', emphasizing the effects of space junk and informing the readers that this is a serious issue not to be taken lightly."
22963,9,1,1,The author organizes the article by opening with an introduction explaining the topic of space junk.  The author then provides background information to allow the reader to better understand the problem.  The author then brakes into two sections with more detailed information on the problem.  The concluding paragraph expresses the need for a solution.
22964,9,1,1,The author organizes the article by telling about spacejunk and how it is made up in space and how it stays up there. Then he tells how you could be effective if you ran into space junk. Also if there little pieces it can still hurt you no matter how big they are.
22965,9,0,0,By telling about the history of space junk.
22967,9,2,2,The author gives us a clear introduction at the biginning followed by the head lining 'What Is Space Junk'. The author also continues to use headings to demonstrate diferent parts of the article.
22968,9,2,2,"The author organizes his/her writing into different sections based on the importance of the issue. The most common known issue with apce is the space trash and to show this, the author placed all his information about 'space junk' into the first subtitle. Then for all the information about satellites crashing and the small size of the space debris got placed into their own sub categories."
22969,9,2,2,"The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article."
22970,9,2,2,"First he talks and informs us about the general idea of Space Junk. 'What is Space Junk' is where he basically tells us just a general idea about it. Then he tells us about 'Crash Course' That is about how large objects or satellites may crash into each other. 'Little bits, but a Big Deal' is informing us about those articles combined kind of. It talks about space debree, and how to solve the problem. It kind of wraps things up."
22971,9,2,1,This organized in a way that tells us about orbiting jank then it tell us what it could be. It tells us next why things may turn into junk and orbit becusae some of the spacecraft may crash and thats the end of that.
22973,9,0,0,The author organize the article to help reader to keep reading; The article gose from better to even better.
22974,9,2,2,"The author organizes the artical well. He puts things down by there importance, uses tone of voice, and organizes his thoughts well. From the section Orbiting junk, he uses excitment for his tone of vioce. In the section What is space junk, he gives facts about what happend and how dangerous debree in space can be."
22975,9,1,1,The author organizes the article in parts. He starts with an introduction to pull the reader in and then quickly changes the tone to show that he is still taking the article seriously.
22977,9,1,1,"The author puts the titles on them which help because they show what the story may be about. Without them, it wouldn't give you an idae on what your really reading."
22978,9,1,0,"He organzie how it begins to get worst throughout the passage, as he start with orbiting junk and ending with little bits, but a big deal. The author show that even through it little the problem is huge."
22979,9,1,1,First he talks about what space junk is and how it is made. Then he talks about how even little pieces of space junk can cause a lot of damage.
22980,9,2,2,"The author organizes the articles by producing several different titles and layering supporting evidence with facts. The introduction uses humor to convey the topic. 'What is Space Junk' gives a background as to how the the objects have muddled their way into the atmosphere. 'Crash Course' gives a more in-depth look at exactly what objects have been found and what dangerous effects they can have. 'Little Bits, But a Big Deal' expands on the need for a solution to the increasing amount of damage that has occured. The author uses a structure of history, cause, effect, and solution to reveal information."
22981,9,2,2,"The author starts off trying to lure the reader asking a question. then using the title 'Crash Course' it is a good topic that we would like to find out what is going on; then ends it out with 'Little Bits,But a Big Deal' saying that it is a little thing or topic but itis a very big deal in the world. He just wants the reader to want to keep reading keep it intersenting."
22982,9,1,1,He/she prganizes it by category. First explains what it is and then the dangers
22984,9,1,1,"He has a beggining, body, and conclusion. he gets you interested, and then gives serious information and then finishes off."
22985,9,2,2,"The author organizes the article in a way that answers the readers questions as one would have them by putting everything under titled paragraphs. The author first gives the reader background information on the problem.  Telling one what the problem is, and how it came to be a problem in 'What IS Space Junk?'.  The author of the article then told the reader about the dangers of space junk and how they affect all things in space in 'Crash Couse'.  Finally in 'Little Bits, But a Big Deal' the author tells of more problems that space trash causes and tells one how the problem is increasing and how it is trying to be stopped, 'Space agencies hope that the corporations and nations involved can work together to come up with a viable solution to space pollution.'  This makes for a well rounded article."
22986,9,2,2,"The aurthor organize that article by putting different information in its own subject so that the reader can understand and lean about one thing at at time. By putting the articles in there owns subject like 'What Is Space Junk?. The reader can only read about what space junk is, and not have to read about crash cousre, cause thats in the next reading."
22987,9,2,2,"The author organizes the article in sections based on the information found under each heading. The author starts with the simple question 'What Is Space Junk?' to make sure the readers know what the rest of the article will be about. The next two sections are about how Space Junk is made and what it can cause. The order of the information makes sense in the human mind. First, tell us what it is, second, tell us how it is made, and third, tell us what it can do."
22988,9,1,1,He starts with information on space junk then eventually leads to the harms and dangers that come out of space junk.
22989,9,2,1,"From the article you can see that he tries to get your attention in the introduction. From there he intitiles one passage 'What Is Space Junk' and that passage tells what things could become space junk. In the next passage intitiled 'Crash Course' is explains what happens when 2 satellites collide into eachother going 20,000 miles per hour. Then, in 'Little Bits, But a Big Deal' he tells us what damages can occur when microdebris hit something from the speed from space."
22992,9,1,1,"The author organizes the article very effectively. The introduction grabs attention with well known phrases.  Then they describe the subject so the reader understands exactly what is being talked about. Next the author demonstrates how it is created and finally he or she uses examples to demonstrate the severity of the issue.  By titling each section, the author makes the article easier to navigate and find certain information quickly. It also organizes the information well."
22993,9,1,2,"The author organizes this article very fluently. First the author starts by adressing the concern of the space junk. After describing the concern the author defines the meaning of space junk. Next the author explains how exactly space junk can be formed. Then last the author shows us the effect of the space junk and how even the smallest particles can do crucial damage to working satellites, space ships, and astronauts repairing a space ship."
22994,9,1,0,The author wants to tell the readers about  how 'space junk' can effect space.  For example how the space crafts go in space and may have to take another course because of junk foating around.  It is organized with supporting details because it is giving examples of what is going on with the junk and how it causes probems.
22995,9,1,1,"The author organizes this article by first catching your attention. After the author has caught your attention, he goes into an explaination of what space junk is and it's harmful effects. Then the author explains what we could do to come up with a solution to space pollution."
22996,9,1,1,"he makes sure that he explains what space junk is, where it comes from, and big of a problem it actually is."
22997,9,0,0,By the time and date that these things happened on. For example he started out in 1957 and then moved to recent day.
22998,9,2,2,"The author starts off with a piece of space junk in the air. Then he explains space elxploration, then talks about satellites and finally explains the danger of space junk."
22999,9,2,2,"The author has a very effective way of organizing the the article. He first introduces the beginning with some startling statements to get your attention, statements such as, 'Grab your telescope! Look up in the sky! It's a comet! It's a meteor!' (1).       Once grabbing the readers attention, he breaks the article into several segments labeled, 'What Is Space Junk?', 'Crash Course,' and 'Little Bits, But a Big Deal.'  All of the following are to condense the article into areas that focus on those specific ideas.     By doing so, it seems that the article was very effective in keeping the reader reading, instead of organizing the article into just one big clump.  Having the organization that it did made the article easy to read and very interesting at the same time, without leaving out any details."
23000,9,2,2,The author starts out with an introduction filled with shocking statements and some information to grab the reader's attention. The author then gives background information of how the space junk got into orbit. The next section provides information on the dangers of space junk and debris in orbit. The final section tells of the problems with the space junk and how scientists are working hard to find a solution.
23001,9,1,1,"The author organizes the article by first explaining how satellites came to be and how bits and pieces from projects or experimnets from space stations get sent out into open space and became 'space junk'. From then on, the article tells about how other bits of space junk can collide with each other and cause tons of damage. Other countries are also trying to get into space but the author of this article is worried that they are not aware of the dangers and lack of precautions they take when going forward with their plans."
23003,9,0,1,"he organizes the article in what happens to space junk and what it is.then is talks about what happens to it, and how it happes."
23004,9,0,0,To inform us on how harmfull space junk is.
23005,9,2,2,"The author uses heading to organize his article. His first heading, What Is Space Junk, gives the topic of the following paragraphs. Through the use of headings, the author ensures that the reader can understand the organization of the article with ease. The author also goes in chronilogical order. He starts in 1957, the year the Soviet Union launched its first satellite, and ends in the presnet day."
23006,9,1,1,The author organizes the article by having sections of different information. There are three paragraphs that each have their own information in each of them.
23007,9,1,1,"The author puts the article in diffrent sections, so thet he can keep better track of it, and so that we can understand it better, and so it all just isn't clutered up and hard to read."
23008,9,1,1,"He starts with the introduction. Then he would go to space junk talking about how the satellites would be unuseful. He goes to crash course, little bits, but a big deal to inform us of how dangerous it is."
23009,9,0,0,"Into diffrent articles relating one another by same subject, but discussing diffrent matters"
23011,9,0,1,He organizes rhe artice by piting his content into full paragraphs.
23012,9,1,1,It explaines how dangerous space junk can be. Like satellites and peices from a space craft.
23014,9,1,1,The author has the article organized out itto material sections to help you.
23015,9,0,0,"The author starts off in a more simple, easy going way so that the reader can connect and understand what their talking about.  Next it changes to a more serious tone so that the reader understands the seriousness of space junk and the dangers that it holds.  The author uses examples such as 'Satellite 33442' to prove differnt times its happened in history."
23016,9,2,2,by  telling you what space junk is. Then telling you wat makes the space junk. THen going on to say how big of a deal the 'junk' is.
23017,9,1,1,"First, the author provides friendly and simple observations to break the 'ice' of the article. Second, the author defines and explains the main idea of the article. Lastly, the author changes to a more serious tone and explains how harmful space junk actually is."
23018,9,2,2,"The author divided this article into sections. The begining of the article is just an introduction that is suppose to grab the reader's attention and help them to become intrested. The next section 'What is Space Junk?' is the foundation of the rest of the article. It is included to help explain in a simple form what is space junk, why it is floating, and how it was placed up there.        The next section 'Crash Course' is includede to explain how the objects could possible be dangerous and to tell what has happened in the past that has proved them to be a negative and danger. 'Little Bits, But a Big Deal' is to explain how little objects can actually have a very large impact on the satellites. It significanfies how it doesn;t matter what size the object is, it still creates a large problem.     The author probably wrote this article this way because he wanted to but it into the sinplest form and explain all parts of the question."
23019,9,0,0,He has paragraphs for each one.
23020,9,2,2,"In the introduction, the author grabs the reader by making surprising statements. He then however changes to a more serios tone to let the reader know that space junk is a significant matter. He explains 'what is space junk' by reviewing the history of satellite orbitals and explaining how pieces of satellites have broken off and gone into orbitals. He then explains how satellites crash and how debris is broken off. Finally, he explains the importance of space trash and finding a solution to the problem."
23021,9,1,1,The author organize the article by putting each name by order.In evey new paragraph the author has a new title.
23022,9,0,1,"I think that the author organization is kind of messy, but kind of not. In the beginning, he starts off with a wild introduction, but that made me interested in reading it. Then he goes off talking about different topics, making it pretty organized because atleast he has a title to make the readers know that they are going to learn something different."
23024,9,1,1,"This article is devided into an intoduction, followed by four paragraphs of supporting information, a problematic supposition and finaly an alternate route suggestion and a summery of the article as a whole."
23025,9,1,1,The author has certain titles throughout the article to show what the topic is going to be.
