Id,EssaySet,Score1,Score2,EssayText
8070,4,0,0,I dont no what the would invasive mean.
8071,4,1,1,The word invasive is significant to this article. The author uses the word invasive to describe animals that have immigrated to a new enviornment. Even the tittle: one man's pets another's invasive species is important in this article.
8072,4,0,0,"The significance of the word invasive is meaning the meaning of the word. So invasive would me different because everytime they use the word its before ""species"", like ""They're introduced"" I think that 'invasive' is passing judgment"" or ""to me its on wonderful introduction"". I think the word mean different because there are different type of animals."
8073,4,1,1,"The word ""invasive""  in the article is used in the context of invasive species, eliminating other species and invading the native habitats of other animals. The article discusses the growing amany of invasive python species and the different viewpoints on how to handle it."
8074,4,1,1,"The significance of the word ''invasive'' to the rest of the article is that these animals are not invasive, they are being introduced to the U.S. by people like RobRay MacInnes, who import them here to sell on the market."
8075,4,0,0,The word invasive like says in the article mean a animals that passed judgement.
8076,4,1,1,"The article focuses on the introduction of the native species of reptiles. These intruders are called invasive species because they tend to conquer or take over the new habitat, forcing out other native species."
8077,4,2,1,"The word invasive is very important to the article and also explains alot about the way the animals act in the area. Without any natural predators the pythons living in the everglades have nothing to kill them to keep their population down. This makes them ""invasive"" because they are taking over a once stable environment."
8079,4,1,1,"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida."
8080,4,1,2,The significance of the word invasive is that the python and other reptiles are coming to areas where they don't belong. One man might like the reptile but another man sees that it will backfire on soon harm the habitat. It's living in and expand its population causing that habitat its new habitat where it will now live.
8081,4,1,1,"Invasive means something that invades an area. This is important in the article because the main idea is that pythons are an "" invasive"" species in the Everglades in Florida. without understanding the word invasive, one would not understand the arguements presented by Bob Roy MacInnes or skip show on the positive or negative affects of pythons as invasive species."
8082,4,0,1,"The word ""invasive"" is very appropriate for almost all of the article arguments in both positive and negative ways. Some argue that pythons are not invasive, while some support with counter-arguments that they are not exclusive when it comes to requirements some species are also very invasive and support that the world it is constantly changing."
8083,4,0,0,The significance of the word invasive is passing judgement because in the rest paragraph 7 it says I think that invasive is passing judgement and that's how I think it relates to the story.
8084,4,1,1,"In the article, "" one mans pet, another' invasive species"" by Joel Achenback, the word invasive is very significant. This is because the python is an invasive species. Also the article talks about other invasive species, ""... a raccoon, a python, a cockroach, a white tailed deer"" (Achenback 4) Lastly, the article corrects ""invasive"" with ""generalist"" when talking about the five mentioned species."
8085,4,1,1,"The significance of ""invasive"" is that there is controversy on whether or not these animals are harmful to society and therefore ""invasive"" or if they are just being introduced to society and they are not doing anything negative."
8086,4,0,1,"The significance of the word ""invasive"" to the rest of the article means strange animals, have a place in our society, our homes, with no question. In paragraph 7, ""Invasive species is unfair."" This means that just because their not our everyday animal doesn't mean you can't form a life for them!"
8087,4,2,2,"The word ""invasive"" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."
8090,4,1,1,The significance of the word invasive is to explain that the animal is invading our home land and people that the animal poses a threat in the article they say that reptiles are invasive species but MacInnes says that government overestimate the threat of these species some are cammercially attractive.
8091,4,0,0,I think that the word invasive is like saying people are not supportive of animals like that because not a lot of people own them and when they an see them there scared because they are not being supportive about them.
8092,4,1,1,"The significance of the word ""Invasive"" is that when people hear it to them it sounds dangerous and leathal but it really doesnt means that. In the article the author wrote that ""Even the term ""Invasive species"" is unfair, they're introduced."" So what he saying is that just because someone calls them ""Invasive species doesnt mean thare harmful, if kept in controlled environment."
8093,4,2,2,"The word, ""invasive"" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are ""invasive"". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, ""Invasive is the rod of the controversy over these reptiles."
8094,4,2,2,"The significance of the word ""invasive"" in this article is an animal put into a habitat not its own.This animal if a generalist species will affect  the habitat badly because it will hurt the ecosystem by killing species that normally another animal would eat.The python is described in this article as invasive because it is not their natural habitat."
8095,4,1,1,"The significance of the word ""Invasive"" is like they were sent here but are not ment to be here. ""Biologists, however, say that invasive species unchecked by natural predators, are major threats to biodiversity."""
8096,4,1,1,"The word invasive is significant to the article because in one part of article it is used in a good sense saying that invasive species are giving a broader look at pets put in other parts of the article it is used in a bad sence, stating that the species are taking over too much wit people live in the wild also that the species should stay on their native area."
8097,4,0,0,"The significane of the wod ""invasive"" is truely meaning a endaged species or animal. The articles tittle say that the snake is a  pet to some but nether less a wild reptile to others. The word refers to basically every paragrah because that what their talking about. The word can clearly go towards the whole article."
8098,4,1,0,The word invasive is significant because they informs you that these animals are dangerous and shouldn't be kept as pets because they arent used to the area's they are kept. This is why MacInnes says they should say introduced instead because its not as bad.
8100,4,1,1,"The word invasive was used in context saying ""invasive species"", said by McInnes . I think the word would mean to not belong somewhere, but it is a personal opinion the way you feel about it. MacInnes feels it shouldn't be used because they're being ""introduced"", and that it's a ""passing judgement."""
8101,4,2,2,"In this article, the word ""invasive"" means animals that have taken over area, unchecked by natural predators, that are major threats to biodiversity. For example, the article says that the pythons in Florida are imperiling five endangered species. This could lead to an unbalance in the enviroment. Invasive animals could also stretch their habitat to a larger area."
8103,4,1,1,'Invasive' is an important word because it perfectly describes the snakes. They are extremely invasive in the ways they have spread like in the everglades.
8104,4,1,1,Robray MacInnes says invasive is the wrong term to use for pythons. he says this new concept should be called introducian because they are introducing the best thing to happen to the Everglades in the last 200 years.
8106,4,1,0,Invasive in this article when your refering to species means a cold specie that can be treated as a pet but because of it natural instants can be a threat or dangerous towards you.One particular invasive species that is talked about in this article is the python. A snake that many people keep as pets but is also a wild specie that is poisonous.
8108,4,2,2,"Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species."
8109,4,1,1,"The significance of the word ""invasive""is used quite often in the story and MacInnes thinks it shouldn't be invasive but introducing because invasive is more of a judgement.MacInnes thinks that not every animal invades property of humans but it introduces themselves to new things in the world."
8110,4,1,1,"Well, the word invasive is kinda like a bad thing because the word invade is similar to the word invasive so i'm thinking that threat invasive species would invade an area that these kinda species don't belong there."
8111,4,1,1,Invasive is great word to use for this article. The article is talking about the fact of bringing in new animals will create them to make many babies. Then they will overpopulate.
8114,4,1,1,The significance of the word invasive is to emphasize that wild life reptiles for going to enter the country a lot more for more habitat lands. The article paragraph 11 helps to support the idea that they're are killing the natural environment animals such as rats. So the word invasive means to the article to  invade and take over.
8117,4,0,1,People are calling reptiles and other animals which are brought to a new place invasive. Some people who support these animals consider the term offensive because they believe these animals can be safely kept as pets.
8118,4,0,1,"The significants of the word invasive in this artical is to show how people view these species of animal as invasive, when really they were thought to be carried to the Everglades by Hurricane Andrew. Also, it is significant because the artical states that people are just passing judgement, because they were simply introduced."
8119,4,2,2,"The word invasive, in this sense, means invading the homeland of another and taking over. For example, the burmose python is on invasive species in the Everglades natural park and is driving either animals like the key large wood not to extination. Most generalist species are invasive because they look for different places to live. ""Invasive"" means a lot to this article."
8120,4,0,0,The significance of the word invasive is to explain how the generalist are invading parts of America.
8122,4,1,1,Invasion an ''used map showed potential python habitat stretching from calf to pelaware snakes will actually spread.
8123,4,1,1,"The word ''invasive'' refers to the introduction of nonnative species into the environment which can harm the preexisting species. For example, Burmese python ''are imperiling five endangered species in the Florida keys.''"
8124,4,0,0,Invasive is a very significant word i this article. It is used to describe the pythons and other creatures that could be dangerous to others. This word is a unique and creative way to talk about what's going on.
8125,4,0,0,"The word invasive is more powerful. It has a meaning that makes the animals more important than just a pet, they have certain ways of life like we do."
8126,4,0,0,"In this article, the word invasive means rare or something different in a certain place. According to the article ""Even the term ""invasive species"" is unfair , he said."" ""They're introduced."" I think that ""invasive is passing judgement."" This tells you that this man simply believes that the animal is rare."
8127,4,1,1,"Invasive invading researchers find pythons ""invasive"" because they are multiplying and eating endangered species. They're moving to different areas and invading other animals territories."
8128,4,0,1,Invasive throughout the story means invading the pythons invaded the Everglades. When the Hurricane Andrew destroyed homes pythons jailbreak in 1992 they were invasive.
8129,4,0,0,"The significance of the word ""invasive"" means dangerous which describes the pythons very well, they are an ""invasive species"" but some think it's unfair to say invasive stands out and when being used, people will understand what is specifically being talked about."
8130,4,0,0,The word invasive is significant to the rest of the article because the article is simply stating an opinion McInnes has on the reptile race. He believes that they too could be counted as invasive creatures.
8131,4,1,1,The word invasive means something that is taking over or being invaded. This word is significant to the story because its showing that the snakes are taking over & is invading different parts of the world.
8132,4,0,0,"The significance of the word ""invasive"" to the rest of the article is that pythons can be a really risky pet to have. They can be very dangerous. It would be kind of hard for them to survive in the US today."
8133,4,0,0,Invasive means a wild animal. The word invasive goes with this sory because the story is telling the readersshould they have a wild animal as a pet or not. The pet industry estimates that about 4.8 million house holds now contain at least one pet reptile.
8134,4,1,2,"The significance of the word ""invasive"" to the rest of the article people are starting to believe that pythons are ""proliferating"" too quiddy which is causing them to migrate quidder and make throughout the south of the united states.This ""invasive"" causes ""major threats to biodiversity"" (Achenbach 9)."
8135,4,1,1,"The word ""invasive"" is significant in the article. MacInnes states "" Given the term invasive species is unfair. They're introduced ! I think that "" invasive "" is passing judgement."" He is saying that invasive is not the right term to describe these types of animals and that it gives them a bad connotation. It makes people think negatively of the species when they hear it. This is why ""invasive""is significant."
8136,4,1,1,"Many invasive species undergo a lay before proliferating. What is certain is that by 2002, pythons were seen in multiple locations in remote regions at the Everglades. With the knowledge of snakes being smaller, not very durable animals that don't move for from where there born, it would say invasive means that the snakes kind of invaded the Everglades which is surprising because they don't get around well."
8137,4,1,1,"The word ""invasive"" is important in the article because the whole article is dedicated in educating people of the dangers of introducing an invasive species. In the article it describes how the python became an invasive species and how it is affecting the community and the environment. Not to mention they talk about invasive species become so."
8138,4,0,0,"Invasive means when you talk about the earth and the environments. When you permit to buy something you suppose to debate about that. When you permit to buy animals or lizards. If the person gives you a price, then you don't want it for the price that's invasive species."
8141,4,1,1,"The significance of the word invasive is mainly that they intrude into the society. The article talks about species coming in contact with each other eventually, but whom the natural borders are taken away and the animals are foreely put there, then they invade another society or community hence invasive."
8142,4,0,0,"The word ""invasive"" is significant, because the article uses it in a way that makes you think about the python. It tells you that the python can take over very easily."
8143,4,1,1,"Invasive is passing judgement they unchecked by natural predators, that are a major threat to the biodiversity. This is important because organisms evolve in a niche environment."
8144,4,0,0,"Even the term ""invasive species"" is unfair. He said ""they're introduced"". I think that ""invasive"" is passing judgment."
8145,4,0,0,The significance of the word invasive to this article means that the pet is very dangerous and very harmful. Just like it said that the python is a very invasive animal.
8146,4,1,1,"These animals such as pythons, lizards, crocodiles, and cobras are considered ""invasive"" animals. The significance of this is thats the rest of the article explains that they're more being ""introduced"" not ""invasive"". Tons of people own these species in the U.S., which makes it unfair to refer to them as ""invasive""."
8147,4,1,1,"The word ''invasive'' is very significant to the article because the article implies that people should be more careful to avoid introducing invasive species. For example, in paragraph 4 the author states that the government finds a ''threat posed by invasive reptiles'' (4) . Also, ''Biologists...say that invasive species unchecked by natural predators, are major threats to biodiversity''(4)."
8149,4,2,2,"The significance of the word ""invasive"" to the rest of the article is it describes how species such as pythons are slowly taking over with the aid of a human. The title ""One Man's Pet Another's Invasive Species"" symbolizes the perception of the situation. While some owners of reptiles see it as no problems others are realizing that there adaptable creatures areableto invade others including our own species if we give them the chance."
8150,4,0,0,Invasive means to me that the object ( or creature) is not welcome. In America most people are not big fans of snakes and they don't want to live in a state that is largely populated by snakes.Thus they are not welcome.
8151,4,1,1,"Invasive means taking over, basically. So some people are afraid some species will invade and cause other species to become extinct."
8152,4,0,0,"The word invasive might mean traveling. I think this  because it is used in the sentence, "" many invasive species undergo a lag before proliferating""."
8153,4,1,2,The word ''invasive'' is significant to the rest of the article because the article describes how dangerous it can be when generalist species invade a place that they are not native to. This is described in the article where the author says that the invasive species unchecked by natural species are major threats to biodiversity.
8154,4,0,0,"Invasive, through out the story mean the wild animals that are considered sometimes as pets. Reptiles of any species are considered wild but examples in the story conclude the can be harmful free. Ivasive for many can be consided as a pass judgement to these species."
8155,4,1,1,"Invasive has bad conditions. It implies that snakes and other reptiles are harming our habitats. The article says, ""invasive species, unchecked, by natural predators, are major threats to biodiversity"". Invasive in use properly here because it is talking about how they disrupt our habitat."
8156,4,1,1,Many people argue that pythons or other erotic animals are invasive. Scientist who disagree use the word to refute the ideas of the people who ''overestimate the threat posed by invasive reptiles.'' RobRay MacInnes argues that calling reptiles invasive species is ''passing judgement.'' Not all reptiles can be thought of in the same way.
8158,4,1,0,"The significance of the word ""invasive"" in this article is important. It is supposed to mean like the animals are coming into human lives either on purpose or accident and it is intrusive. It is a species that is dangerous and deathly but still wanted as pets and in the wild."
8159,4,0,0,"The significance of the word  ""Invasive"" to the article is that the whole article was pretty much about invasive animals. It was the conflict in the whole article"
8160,4,1,1,Invasive is important because they mean that the animals here have become familiar with a new habitat that increasingly doesn't have the species.
8161,4,1,1,"The world Invasive is used as like the word harmful. In the article it states that species are major threat to biodiversity according to biologists, so that  must mean they are harmful."
8162,4,2,1,"According to MacInnes, species like python are ""introduced"" rather than ""invasive"", which is the judgment. Although they adapt harmoniously to Florida, there are environmental constins about Florida's native life being destroyed by their introduction/invasion. The word ""invasion"" highlights the controversy about whether or not those species are welcome in Florida."
8163,4,0,0,Invasive is to invade and possibly  take over and adapt of area.
8164,4,1,1,Invasive species are species that were native one way but same how through time brought to another. Pythons due to Hunncan Andrew was brought through the south and scattered left their to find a new mean to food and survival.
8165,4,1,1,"The word ""invasive"" is significant through the rest of the article because it talks about different species of animals and how they are diffrent and how they react. For example, ""we live in an age that favors generalists rather than specialists"". This quote shows that Florida lives in a place with invasive species."
8166,4,2,2,"The word ""invasive"" is extremely significant to this article because the entire article is explaining the argument on how the non-native pythons are creating imbalance in the everglades and how they are pushing out native species, like the alligator. This perfectly describes the word ""invasive"" because invasive species are non-native species that push out the necessary and native species, like the alligator."
8167,4,0,0,The pet industry says that 4.8 million homes now own reptiles. This number has doubled in the last decade since there are so many of them its becoming invasive.
8168,4,0,0,"The word ""invasive"" implies that an animal's species is invading a certain area or range. I think they use that word in order to show the negative effects of that species and to show the bad side of this issue so people see this as a serious issue."
8169,4,1,1,The word invasive is significant because the topic is on snakes and other reptiles that are brought into another environment not invading it. Humans are actually invading the areas not the animals who are just surviving.
8171,4,1,1,"The word ""invasive"" is a very important word to the article. The article is focused on the effects of invasive species on the environments they invade. The article specifically mention how pythons, an invasive species are destroying the eco system of the Everglades. The word ""invasive"" practically sums up the article."
8172,4,1,1,"Biologists say that invasive species, That are unchecked by natural predators, are major threats to biodiversity. This means that when animals change their environment and there is no other animal that can prey on that species it could do harm to the animals in that environment."
8173,4,1,1,"Invasive means that something is taking over. In the article, species are invasive to other species and humans. The significance of invade is that species are trying to go to climates where they feel comfortable."
